                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.528,                 2.1579,                 1.2559,                0.75543,                0.74661,                0.77055,                0.42644,                 1.4565,                 1.4787,                   1.27,             0.00055323,             0.00055323,             0.00055323
                      2,                  1.511,                  1.476,                 1.2742,                0.75087,                0.74666,                0.80218,                0.47373,                 1.4316,                 1.1003,                 1.2671,              0.0010979,              0.0010979,              0.0010979
                      3,                 1.5102,                 1.2888,                 1.2782,                0.80894,                0.76232,                0.83134,                0.49089,                 1.3993,                 1.0555,                 1.2694,              0.0016316,              0.0016316,              0.0016316
                      4,                  1.493,                  1.178,                 1.2689,                 0.8041,                0.79753,                0.85716,                0.50899,                 1.3931,                   1.04,                 1.2777,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.4603,                 1.1248,                 1.2677,                0.81476,                0.80171,                0.85741,                0.51967,                 1.3892,                0.88734,                  1.269,               0.001601,               0.001601,               0.001601
                      6,                 1.4399,                 1.0473,                  1.247,                0.82008,                0.81445,                  0.879,                0.53929,                 1.3486,                0.85556,                 1.2287,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4183,                 1.0046,                 1.2411,                0.79562,                0.79923,                0.84949,                 0.4981,                 1.4166,                0.91232,                 1.2666,               0.001568,               0.001568,               0.001568
                      8,                 1.4009,                0.97563,                 1.2263,                0.85431,                 0.8027,                0.86997,                  0.535,                 1.3603,                0.82408,                 1.2569,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3869,                0.94902,                 1.2205,                0.80329,                0.81499,                0.87653,                 0.5377,                 1.3629,                 0.9076,                 1.2431,               0.001535,               0.001535,               0.001535
                     10,                 1.3749,                0.93506,                 1.2118,                0.81245,                0.83338,                0.88549,                0.55363,                 1.3257,                0.79718,                 1.2197,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3431,                0.89402,                 1.2022,                0.84425,                0.86475,                0.91391,                0.56192,                 1.3321,                0.77465,                 1.2432,               0.001502,               0.001502,               0.001502
                     12,                 1.3488,                0.89469,                 1.2031,                0.83903,                0.83465,                  0.896,                0.55287,                 1.3287,                  0.812,                 1.2215,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3419,                0.86667,                  1.199,                0.86873,                0.78259,                0.88497,                0.55097,                 1.3443,                0.80392,                 1.2437,               0.001469,               0.001469,               0.001469
                     14,                 1.3199,                  0.861,                 1.1801,                0.86245,                0.82414,                0.90234,                0.56612,                 1.3379,                0.74553,                 1.2399,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.3163,                0.84451,                 1.1857,                0.90567,                0.83804,                0.91974,                0.57431,                 1.3179,                0.71242,                 1.2221,               0.001436,               0.001436,               0.001436
                     16,                  1.308,                0.82779,                 1.1737,                0.83764,                0.82027,                0.88249,                0.55026,                 1.3292,                0.80566,                 1.2187,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3008,                0.82092,                 1.1738,                0.86721,                 0.8327,                0.90664,                0.57243,                 1.3175,                0.73362,                 1.2274,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.2941,                0.79994,                  1.171,                0.87949,                0.83938,                0.91045,                0.57718,                 1.3161,                  0.706,                 1.2242,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.2732,                0.78146,                 1.1654,                0.84571,                0.87787,                0.91705,                0.58157,                 1.2839,                0.70293,                 1.2091,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.2816,                0.78444,                  1.168,                0.82209,                0.86238,                0.89535,                0.55443,                 1.3582,                0.72208,                 1.2525,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2387,                0.76087,                 1.1434,                0.85555,                 0.8815,                0.92483,                0.59093,                 1.2755,                0.69245,                 1.1998,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2446,                0.75781,                 1.1524,                0.85968,                0.88434,                0.92061,                 0.5805,                 1.3058,                0.67154,                 1.2252,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2487,                0.75035,                 1.1506,                 0.8503,                0.82163,                0.89159,                0.54943,                 1.3219,                0.74619,                 1.2294,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2229,                0.74005,                  1.135,                0.83021,                0.84134,                0.89539,                0.56318,                 1.3013,                0.76044,                 1.2184,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.2144,                0.72168,                 1.1281,                0.86887,                0.85833,                0.90894,                0.56977,                 1.3226,                0.69098,                 1.2224,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1964,                0.70613,                 1.1194,                0.83745,                0.86934,                 0.9156,                0.57372,                 1.3091,                0.71095,                 1.2139,              0.0012544,              0.0012544,              0.0012544
                     27,                  1.209,                0.71288,                 1.1299,                0.84491,                0.82475,                0.88822,                0.56635,                 1.3089,                0.77199,                 1.2253,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1877,                0.69425,                 1.1168,                0.84352,                0.84069,                0.89632,                0.57006,                 1.3032,                 0.7193,                 1.2195,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1956,                0.69744,                 1.1187,                0.86054,                0.83441,                 0.8975,                0.56782,                 1.3236,                0.75468,                 1.2167,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1748,                0.69221,                 1.1079,                0.84012,                0.86437,                0.91106,                0.57625,                 1.3306,                0.69436,                 1.2223,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.1733,                0.68027,                 1.1077,                0.87921,                0.83286,                0.90841,                 0.5703,                 1.3115,                0.70137,                 1.2202,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1574,                0.67875,                  1.109,                0.86023,                0.86351,                0.91076,                0.56789,                 1.3207,                0.68728,                 1.2112,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1582,                 0.6673,                 1.1055,                0.84501,                0.84655,                0.90939,                0.56123,                 1.3353,                0.71742,                 1.2347,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1331,                0.66952,                 1.0935,                0.86082,                0.86223,                0.91204,                0.57137,                 1.3151,                0.68065,                 1.2354,              0.0011224,              0.0011224,              0.0011224
